"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021826","GO:0021826","substrate-independent telencephalic tangential migration","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Cntn2",1
"GO:0021843","GO:0021843","substrate-independent telencephalic tangential interneuron migration","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Cntn2",1
"GO:0021936","GO:0021936","regulation of cerebellar granule cell precursor proliferation","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Lhx1",1
"GO:0021957","GO:0021957","corticospinal tract morphogenesis","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Prdm8",1
"GO:0035095","GO:0035095","behavioral response to nicotine","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Chrna3",1
"GO:0048703","GO:0048703","embryonic viscerocranium morphogenesis","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Lhx1",1
"GO:0090129","GO:0090129","positive regulation of synapse maturation","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Reln",1
"GO:0007612","GO:0007612","learning","2/16","206/28928",0.00970873786407767,17.5533980582524,5.60900789610525,0.00567064367578704,0.0470302466344208,0.0211201035721308,"Cntn2/Reln",2
"GO:0021543","GO:0021543","pallium development","2/16","213/28928",0.00938967136150235,16.9765258215962,5.50541876218205,0.00604990742478076,0.0470302466344208,0.0211201035721308,"Reln/Neurod1",2
"GO:0048318","GO:0048318","axial mesoderm development","1/16","11/28928",0.0909090909090909,164.363636363636,12.7481668381488,0.00606831930621476,0.0470302466344208,0.0211201035721308,"Zic2",1
"GO:0060068","GO:0060068","vagina development","1/16","11/28928",0.0909090909090909,164.363636363636,12.7481668381488,0.00606831930621476,0.0470302466344208,0.0211201035721308,"Lhx1",1
"GO:0060073","GO:0060073","micturition","1/16","11/28928",0.0909090909090909,164.363636363636,12.7481668381488,0.00606831930621476,0.0470302466344208,0.0211201035721308,"Chrna3",1
"GO:0098700","GO:0098700","neurotransmitter loading into synaptic vesicle","1/16","11/28928",0.0909090909090909,164.363636363636,12.7481668381488,0.00606831930621476,0.0470302466344208,0.0211201035721308,"Slc17a6",1
"GO:0099612","GO:0099612","protein localization to axon","1/16","11/28928",0.0909090909090909,164.363636363636,12.7481668381488,0.00606831930621476,0.0470302466344208,0.0211201035721308,"Cntn2",1
"GO:0060041","GO:0060041","retina development in camera-type eye","2/16","217/28928",0.00921658986175115,16.6635944700461,5.44840972679185,0.0062717383839508,0.0470302466344208,0.0211201035721308,"Lhx1/Neurod1",2
